COMMAND     PID          USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
Tunnel    41723 danilrybalkin   62u  IPv4 0x9f0d312a0ebadea3      0t0  TCP 127.0.0.1:10808->127.0.0.1:63258 (ESTABLISHED)
Tunnel    41723 danilrybalkin   63u  IPv4 0x270b00fd7f4a9103      0t0  TCP 127.0.0.1:10808->127.0.0.1:62423 (ESTABLISHED)
Tunnel    41723 danilrybalkin   64u  IPv4 0x9432cda75ceb24e1      0t0  TCP 127.0.0.1:10808->127.0.0.1:51581 (ESTABLISHED)
Tunnel    41723 danilrybalkin   65u  IPv4 0xafd45158881d48b5      0t0  TCP 127.0.0.1:10808->127.0.0.1:51582 (ESTABLISHED)
Tunnel    41723 danilrybalkin   66u  IPv4 0xdf744cb27c3d0143      0t0  TCP 127.0.0.1:10808->127.0.0.1:63607 (ESTABLISHED)
Tunnel    41723 danilrybalkin   67u  IPv4 0x5b4f81c27dadabfc      0t0  TCP 127.0.0.1:63923->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   68u  IPv4 0xe5257afa71b9b36f      0t0  TCP 127.0.0.1:10808->127.0.0.1:63923 (ESTABLISHED)
Tunnel    41723 danilrybalkin   69u  IPv4 0x8002c43ae17b6eb6      0t0  TCP 192.168.1.134:56569->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   70u  IPv4 0x6726b846ebaf186b      0t0  TCP 192.168.1.134:51564->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   71u  IPv4 0x2e5e179b5df38c88      0t0  TCP 127.0.0.1:10808->127.0.0.1:63958 (ESTABLISHED)
Tunnel    41723 danilrybalkin   72u  IPv4 0x129a3464a0fe9554      0t0  TCP 127.0.0.1:10808->127.0.0.1:63039 (ESTABLISHED)
Tunnel    41723 danilrybalkin   73u  IPv4 0xe2a28b162651bc23      0t0  TCP 192.168.1.134:63262->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   74u  IPv4 0x87f86da1da06a361      0t0  TCP 127.0.0.1:10808->127.0.0.1:63969 (ESTABLISHED)
Tunnel    41723 danilrybalkin   75u  IPv4 0x5b1406c119958742      0t0  UDP *:52061
Tunnel    41723 danilrybalkin   76u  IPv4 0x7f599a3debc92514      0t0  TCP 127.0.0.1:51661->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   77u  IPv4 0x4a87765b358244ee      0t0  TCP 127.0.0.1:63959->127.0.0.1:10808 (ESTABLISHED)
