time,,interface,state,bytes_in,bytes_out,
00:39:45.363429,tcp4 127.0.0.1:10808<->127.0.0.1:62311,lo0,Established,1251369,858591,
00:39:45.363404,tcp4 127.0.0.1:62311<->127.0.0.1:10808,lo0,Established,858591,1251369,
00:39:45.363357,tcp4 127.0.0.1:10808<->127.0.0.1:62016,lo0,Established,9678844,8022378,
00:39:45.363334,tcp4 127.0.0.1:62016<->127.0.0.1:10808,lo0,Established,8022378,9678844,
00:39:45.363284,tcp4 127.0.0.1:10808<->127.0.0.1:61981,lo0,Established,4646184,9883036,
00:39:45.363261,tcp4 127.0.0.1:61981<->127.0.0.1:10808,lo0,Established,9883036,4646184,
00:39:45.363214,tcp4 192.168.1.134:61941<->144.31.99.109:443,en0,Established,2785621,1503357,
00:39:45.363190,tcp4 127.0.0.1:10808<->127.0.0.1:61873,lo0,Established,2055,5571,
00:39:45.363167,tcp4 127.0.0.1:61873<->127.0.0.1:10808,lo0,Established,5571,2055,
00:39:45.363145,tcp4 127.0.0.1:10808<->127.0.0.1:61871,lo0,Established,2087,5572,
00:39:45.363095,tcp4 127.0.0.1:61871<->127.0.0.1:10808,lo0,Established,5572,2087,
00:39:45.363073,tcp4 127.0.0.1:10808<->127.0.0.1:61868,lo0,Established,1992,5573,
00:39:45.363049,tcp4 127.0.0.1:61868<->127.0.0.1:10808,lo0,Established,5573,1992,
00:39:45.363003,tcp4 127.0.0.1:10808<->127.0.0.1:61867,lo0,Established,1991,5573,
00:39:45.362980,tcp4 127.0.0.1:61867<->127.0.0.1:10808,lo0,Established,5573,1991,
00:39:45.362909,tcp4 127.0.0.1:10808<->127.0.0.1:61709,lo0,Established,6229,5640,
00:39:45.362886,tcp4 127.0.0.1:61709<->127.0.0.1:10808,lo0,Established,5640,6229,
00:39:45.362864,tcp4 192.168.1.134:60890<->144.31.99.109:443,en0,Established,705585,589838,
00:39:45.362841,tcp4 192.168.1.134:60888<->144.31.99.109:443,en0,Established,31587,23000,
00:39:45.362819,tcp4 192.168.1.134:60881<->144.31.99.109:443,en0,Established,49492,35057,
00:39:45.362797,tcp4 192.168.1.134:60880<->144.31.99.109:443,en0,Established,30529,34263,
00:39:45.362774,tcp4 192.168.1.134:60879<->144.31.99.109:443,en0,Established,35840,23854,
00:39:45.362751,tcp4 192.168.1.134:60878<->144.31.99.109:443,en0,Established,27319,15361,
00:39:45.362728,tcp4 192.168.1.134:60876<->144.31.99.109:443,en0,Established,52266,39291,
00:39:45.362704,tcp4 192.168.1.134:60875<->144.31.99.109:443,en0,Established,46506,17051,
00:39:45.362679,tcp4 192.168.1.134:60874<->144.31.99.109:443,en0,Established,36898,26201,
00:39:45.362657,tcp4 192.168.1.134:60869<->144.31.99.109:443,en0,Established,1855284,227446,
00:39:45.362634,tcp4 192.168.1.134:60868<->144.31.99.109:443,en0,Established,24535,27075,
00:39:45.362612,tcp4 192.168.1.134:60867<->144.31.99.109:443,en0,Established,58212,44636,
00:39:45.362589,tcp4 192.168.1.134:60865<->144.31.99.109:443,en0,Established,54042,52955,
00:39:45.362566,tcp4 192.168.1.134:60864<->144.31.99.109:443,en0,Established,10946596,4781334,
00:39:45.362544,tcp4 192.168.1.134:60863<->144.31.99.109:443,en0,Established,22648,15206,
00:39:45.362521,tcp4 192.168.1.134:60861<->144.31.99.109:443,en0,Established,5695546,5903333,
00:39:45.362498,tcp4 192.168.1.134:60858<->144.31.99.109:443,en0,Established,53392,24453,
00:39:45.362475,tcp4 192.168.1.134:60857<->144.31.99.109:443,en0,Established,99866,24042,
00:39:45.362451,tcp4 192.168.1.134:60856<->144.31.99.109:443,en0,Established,671192,429614,
00:39:45.362428,tcp4 192.168.1.134:60855<->144.31.99.109:443,en0,Established,5670115,10252647,
00:39:45.362406,tcp4 192.168.1.134:60852<->144.31.99.109:443,en0,Established,61206,37240,
00:39:45.362383,tcp4 192.168.1.134:60846<->144.31.99.109:443,en0,Established,3474699,3901495,
00:39:45.362359,tcp4 192.168.1.134:60849<->144.31.99.109:443,en0,Established,1023033,1299194,
00:39:45.362336,tcp4 192.168.1.134:60847<->144.31.99.109:443,en0,Established,49686,23686,
00:39:45.362313,tcp4 192.168.1.134:60848<->144.31.99.109:443,en0,Established,28383,25169,
00:39:45.362290,tcp4 127.0.0.1:10808<->127.0.0.1:60825,lo0,Established,3015,10064,
00:39:45.362267,tcp4 127.0.0.1:60825<->127.0.0.1:10808,lo0,Established,10064,3015,
00:39:45.362244,tcp4 127.0.0.1:10808<->127.0.0.1:60773,lo0,Established,3808,3805,
00:39:45.362221,tcp4 127.0.0.1:60773<->127.0.0.1:10808,lo0,Established,3805,3808,
00:39:45.362173,tcp4 127.0.0.1:10808<->127.0.0.1:60432,lo0,Established,43197,35763,
00:39:45.362147,tcp4 127.0.0.1:60432<->127.0.0.1:10808,lo0,Established,35763,43197,
00:39:45.362101,tcp4 127.0.0.1:10808<->127.0.0.1:59506,lo0,Established,14578,8304,
00:39:45.362077,tcp4 127.0.0.1:59506<->127.0.0.1:10808,lo0,Established,8304,14578,
00:39:45.362055,tcp4 127.0.0.1:10808<->127.0.0.1:59345,lo0,Established,44268,96203,
00:39:45.362031,tcp4 127.0.0.1:59345<->127.0.0.1:10808,lo0,Established,96203,44268,
00:39:45.361986,tcp4 192.168.1.134:59161<->144.31.99.109:443,en0,Established,21098024,14357261,
00:39:45.361964,tcp4 192.168.1.134:59162<->144.31.99.109:443,en0,Established,4122835,11154188,
00:39:45.361940,tcp4 192.168.1.134:59160<->144.31.99.109:443,en0,Established,20107,24544,
00:39:45.361918,tcp4 192.168.1.134:59145<->144.31.99.109:443,en0,Established,904496,1905731,
00:39:45.361895,tcp4 192.168.1.134:59142<->144.31.99.109:443,en0,Established,9317261,10094967,
00:39:45.361872,tcp4 192.168.1.134:59141<->144.31.99.109:443,en0,Established,461890,171554,
00:39:45.361849,tcp4 192.168.1.134:59113<->144.31.99.109:443,en0,Established,128353,70001,
00:39:45.361827,tcp4 127.0.0.1:10808<->127.0.0.1:58408,lo0,Established,68859,51052,
00:39:45.361803,tcp4 127.0.0.1:58408<->127.0.0.1:10808,lo0,Established,51052,68859,
00:39:45.361781,tcp4 192.168.1.134:57959<->144.31.99.109:443,en0,Established,25659061,45218325,
00:39:45.361758,tcp4 192.168.1.134:57950<->144.31.99.109:443,en0,Established,414981,93867,
00:39:45.361735,tcp4 192.168.1.134:57940<->144.31.99.109:443,en0,Established,1900917,22083962,
00:39:45.361712,tcp4 192.168.1.134:57886<->144.31.99.109:443,en0,Established,609848,814453,
00:39:45.361690,tcp4 192.168.1.134:57885<->144.31.99.109:443,en0,Established,2019075,2324073,
00:39:45.361668,tcp4 192.168.1.134:57884<->144.31.99.109:443,en0,Established,798870,10801055,
00:39:45.361645,tcp4 192.168.1.134:57881<->144.31.99.109:443,en0,Established,2975611,716007,
00:39:45.361622,tcp4 192.168.1.134:57879<->144.31.99.109:443,en0,Established,437607,82688,
00:39:45.361600,tcp4 192.168.1.134:57878<->144.31.99.109:443,en0,Established,8396753,13324372,
00:39:45.361577,tcp4 192.168.1.134:57875<->144.31.99.109:443,en0,Established,895578,7775420,
